date,series,preprocessing.y,preprocessing.y_f,preprocessing.y_ef,preprocessing.yc,preprocessing.yc_f,preprocessing.yc_ef,preprocessing.l,preprocessing.y_lin,preprocessing.y_lin_f,preprocessing.ycal,preprocessing.ycal_f,preprocessing.det,preprocessing.det_f,preprocessing.l_f,preprocessing.l_b,preprocessing.cal,preprocessing.cal_f,preprocessing.tde,preprocessing.tde_f,preprocessing.mhe,preprocessing.mhe_f,preprocessing.ee,preprocessing.ee_f,preprocessing.omhe,preprocessing.omhe_f,preprocessing.out,preprocessing.out_f,preprocessing.out_i,preprocessing.out_i_f,preprocessing.out_t,preprocessing.out_t_f,preprocessing.out_s,preprocessing.out_s_f,preprocessing.reg,preprocessing.reg_f,preprocessing.reg_t,preprocessing.reg_t_f,preprocessing.reg_s,preprocessing.reg_s_f,preprocessing.reg_i,preprocessing.reg_i_f,preprocessing.reg_sa,preprocessing.reg_sa_f,preprocessing.reg_y,preprocessing.reg_y_f,preprocessing.reg_u,preprocessing.reg_u_f,preprocessing.fullresiduals,preprocessing.fcasts(-2),preprocessing.bcasts(-2),preprocessing.lin_fcasts(-2),preprocessing.lin_bcasts(-2),preprocessing.efcasts(-2),decomposition.y_cmp,decomposition.y_cmp_f,decomposition.t_cmp,decomposition.t_cmp_f,decomposition.sa_cmp,decomposition.s_cmp,decomposition.s_cmp_f,decomposition.i_cmp,decomposition.a-tables.a1,decomposition.a-tables.a1a,decomposition.a-tables.a6,decomposition.a-tables.a7,decomposition.a-tables.a8t,decomposition.a-tables.a8s,decomposition.a-tables.a8i,decomposition.a-tables.a8,decomposition.a-tables.a9,decomposition.a-tables.a9sa,decomposition.a-tables.a9u,decomposition.a-tables.a9ser,decomposition.b-tables.b1,decomposition.b-tables.b2,decomposition.b-tables.b3,decomposition.b-tables.b4,decomposition.b-tables.b5,decomposition.b-tables.b6,decomposition.b-tables.b7,decomposition.b-tables.b8,decomposition.b-tables.b9,decomposition.b-tables.b10,decomposition.b-tables.b11,decomposition.b-tables.b13,decomposition.b-tables.b17,decomposition.b-tables.b20,decomposition.d-tables.d1,decomposition.d-tables.d2,decomposition.d-tables.d4,decomposition.d-tables.d5,decomposition.d-tables.d6,decomposition.d-tables.d7,decomposition.d-tables.d8,decomposition.d-tables.d9,decomposition.d-tables.d10_lin,decomposition.d-tables.d11_lin,decomposition.d-tables.d12_lin,decomposition.d-tables.d13_lin,decomposition.d-tables.d10,decomposition.d-tables.d11,decomposition.d-tables.d12,decomposition.d-tables.d13,decomposition.d-tables.d16,decomposition.d-tables.d18,decomposition.d-tables.d10a,decomposition.d-tables.d10a_lin,decomposition.d-tables.d11a,decomposition.d-tables.d11a_lin,decomposition.d-tables.d12a,decomposition.d-tables.d12a_lin,decomposition.d-tables.d16a,decomposition.c-tables.c1,decomposition.c-tables.c2,decomposition.c-tables.c4,decomposition.c-tables.c5,decomposition.c-tables.c6,decomposition.c-tables.c7,decomposition.c-tables.c9,decomposition.c-tables.c10,decomposition.c-tables.c11,decomposition.c-tables.c13,decomposition.c-tables.c17,decomposition.c-tables.c20,decomposition.e-tables.e1,decomposition.e-tables.e2,decomposition.e-tables.e3,decomposition.e-tables.e11,final.y,final.y_f,final.t,final.t_f,final.sa,final.sa_f,final.s,final.s_f,final.i,final.i_f
2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5,,122.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.75,,118.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-01,,,,,,,,,,,,,,,,121.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.25,,121.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-01,,,,,,,,,,,,,,,,124.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.5,,124.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-01,,,,,,,,,,,,,,,,122.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.75,,122.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-01,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-01,,,,,,,,,,,,,,,,117.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.25,,117.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,,,,,,,,,,,,,,,,115.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5,,115.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,,,,,,,,,,,,,,,,116.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.75,,116.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,,,,,,,,,,,,,,,,122.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.25,,122.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01,,,,,,,,,,,,,,,,125.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.5,,125.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01,,,,,,,,,,,,,,,,121.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.75,,121.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,120.0,120.0,,,120.0,,,120.0,120.0,,120.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,120.0,,122.03768190211862,,122.00305199142758,-2.0030519914275877,,-0.034629910691037935,120.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,,,,-2.000000000000006,122.0,122.01783817851522,-2.0178381785152197,-1.999999999999993,-2.000055627645867,122.00005562764586,-0.017782550869355873,0.0,-0.017782550869355873,120.02584496546957,,,-2.000898355934615,122.02674332140418,122.03572623772446,-2.035726237724461,-2.009881272254887,-2.0030519914275877,122.00305199142758,122.03768190211862,-0.034629910691037935,-2.0030519914275877,122.00305199142758,122.03768190211862,-0.034629910691037935,-2.003051991427583,4.884981308350689e-15,,,,,,,,120.01778255086936,,,-1.9999876442888609,122.01777019515822,122.02855146209608,-2.0107689112267195,-2.002706496626499,122.0027064966265,-0.025844965469573822,0.0,-0.025844965469573822,120.03462991069104,122.03768190211862,0.0,122.00305199142758,120.0,,122.03768190211862,,122.00305199142758,,-2.0030519914275877,,-0.034629910691037935,
2015-02-01,124.25,124.25,,,124.25,,,124.25,124.25,,124.25,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,124.25,,122.26259283512175,,122.25117081989008,1.99882918010992,,-0.0114220152316733,124.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.25,,,,1.9999999999999942,122.25,122.251570290903,1.998429709096996,1.999856703535804,1.9999037716892705,122.25009622831072,-0.001474062592279779,0.0,-0.001474062592279779,124.25574582671864,,,2.000129560914063,122.25561626580458,122.26148151161115,1.9885184883888485,1.9942643151074861,1.99882918010992,122.25117081989008,122.26259283512175,-0.0114220152316733,1.99882918010992,122.25117081989008,122.26259283512175,-0.0114220152316733,1.9988291801099223,2.220446049250313e-15,,,,,,,,124.25147406259228,,,2.000008534269373,122.25146552832291,122.2569541887736,1.9945198738186747,1.9987916379450261,122.25120836205497,-0.005745826718637659,0.0,-0.005745826718637659,124.26142201523167,122.26259283512175,0.0,122.25117081989008,124.25,,122.26259283512175,,122.25117081989008,,1.99882918010992,,-0.0114220152316733,
2015-03-01,127.5,127.5,,,127.5,,,127.5,127.5,,127.5,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,127.5,,122.50226161397715,,122.50010505546389,4.999894944536111,,-0.0021565585132634624,127.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.5,,,,4.999999999999994,122.5,122.4983417111867,5.001658288813303,,5.000414220851236,122.49958577914876,0.001244067962062445,0.0,0.001244067962062445,127.5,,,5.000130577352852,122.49986942264715,122.5018975579288,4.9981024420712,,4.999894944536111,122.50010505546389,122.50226161397715,-0.0021565585132634624,4.999894944536111,122.50010505546389,122.50226161397715,-0.0021565585132634624,4.999894944536109,-1.7763568394002505e-15,,,,,,,,127.49875593203794,,,5.000009724815285,122.49874620722265,122.49966406569969,4.999091866338247,5.000089802978246,122.49991019702175,0.00024613132205786314,1.0,0.0,127.5,122.50010505546389,-0.0021565585132634624,122.50010505546389,127.5,,122.50226161397715,,122.50010505546389,,4.999894944536111,,-0.0021565585132634624,
2015-04-01,125.75,125.75,,,125.75,,,125.75,125.75,,125.75,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,125.75,,122.74856061630996,,122.74925564392117,3.000744356078827,,0.0006950276112149822,125.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.75,,,,2.9999999999999996,122.75,122.74915899793598,3.0008410020640213,,3.0001826562722735,122.74981734372773,0.0006583457917486157,0.0997507543959967,0.0005926753023682616,125.75,,,3.000133071627722,122.74986692837228,122.74880502573342,3.001194974266582,,3.000744356078827,122.74925564392117,122.74856061630996,0.0006950276112149822,3.000744356078827,122.74925564392117,122.74856061630996,0.0006950276112149822,3.000744356078826,-8.881784197001252e-16,,,,,,,,125.74940732469763,,,3.0000105021028074,122.74939682259482,122.74825829884428,3.0011490258533513,3.000670099867974,122.74932990013203,0.0010716012877480807,1.0,0.0,125.75,122.74925564392117,0.0006950276112149822,122.74925564392117,125.75,,122.74856061630996,,122.74925564392117,,3.000744356078827,,0.0006950276112149822,
2015-05-01,123.0,123.0,,,123.0,,,123.0,123.0,,123.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,123.0,,122.99820242450053,,122.9992790364187,0.00072096358130652,,0.0010766119181653266,123.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,,,,7.195889974422279e-17,123.0,122.99999999999999,1.4210854715202004e-14,,-5.5627645853835915e-05,123.00005562764585,5.562764586386493e-05,1.0,0.0,123.0,,,0.0001355659026017259,122.9998644340974,122.99878771650178,0.0012122834982193353,,0.00072096358130652,122.9992790364187,122.99820242450053,0.0010766119181653266,0.00072096358130652,122.9992790364187,122.99820242450053,0.0010766119181653266,0.0007209635813012483,-5.271716223276268e-15,,,,,,,,123.0,,,1.0654539871218577e-05,122.99998934546012,122.99898168511771,0.001018314882287541,0.000623724397583053,122.99937627560242,0.0003945904847029169,1.0,0.0,123.0,122.9992790364187,0.0010766119181653266,122.9992790364187,123.0,,122.99820242450053,,122.9992790364187,,0.00072096358130652,,0.0010766119181653266,
2015-06-01,120.25,120.25,,,120.25,,,120.25,120.25,,120.25,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,120.25,,123.24920781579635,,123.24959454103563,-2.9995945410356413,,0.00038672523928084956,120.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.25,,,,-2.9999999999999774,123.24999999999997,123.24999999999999,-2.999999999999986,,-3.000055627645858,123.25005562764586,5.562764587807578e-05,1.0,0.0,120.25,,,-2.9998619398225124,123.24986193982251,123.24980948641982,-2.999809486419821,,-2.9995945410356413,123.24959454103563,123.24920781579635,0.00038672523928084956,-2.9995945410356413,123.24959454103563,123.24920781579635,0.00038672523928084956,-2.999594541035634,7.105427357601002e-15,,,,,,,,120.25,,,-2.999989345460106,123.24998934546011,123.24994431284361,-2.99994431284361,-2.999658420385987,123.24965842038598,-0.00028589245762589144,1.0,0.0,120.25,123.24959454103563,0.00038672523928084956,123.24959454103563,120.25,,123.24920781579635,,123.24959454103563,,-2.9995945410356413,,0.00038672523928084956,
2015-07-01,118.5,118.5,,,118.5,,,118.5,118.5,,118.5,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,118.5,,123.49961835011268,,123.4997013889188,-4.999701388918797,,8.303880611038039e-05,118.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.5,123.49999999999999,-4.999999999999986,,-4.999999999999994,123.5,123.49999999999997,-4.999999999999972,,-5.000055627645861,123.50005562764586,5.562764589228664e-05,1.0,0.0,118.5,123.50145635369478,-5.001456353694778,-5.00049665488908,123.50049665488908,123.50009786633807,-5.000097866338066,,-4.999701388918797,123.4997013889188,123.49961835011268,8.303880611038039e-05,-4.999701388918797,123.4997013889188,123.49961835011268,8.303880611038039e-05,-4.999701388918794,2.6645352591003757e-15,,,,,,,,118.5,123.50071071623022,-5.000710716230216,-5.000277195345609,123.5002771953456,123.5001258316713,-5.000125831671298,-4.999711825854775,123.49971182585477,-0.0004140058165233995,1.0,0.0,118.5,123.4997013889188,8.303880611038039e-05,123.4997013889188,118.5,,123.49961835011268,,123.4997013889188,,-4.999701388918797,,8.303880611038039e-05,
2015-08-01,119.75,119.75,,,119.75,,,119.75,119.75,,119.75,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,119.75,,123.74970912341557,,123.74971688802148,-3.999716888021484,,7.76460591112027e-06,119.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.75,123.75,-4.0,,-4.000000000000006,123.75,123.74999999999997,-3.9999999999999716,,-4.000055826668716,123.75005582666871,5.5826668742042784e-05,1.0,0.0,119.75,123.75004073192729,-4.000040731927285,-3.9999588986656693,123.74995889866567,123.75006281325459,-4.000062813254587,,-3.999716888021484,123.74971688802148,123.74970912341557,7.76460591112027e-06,-3.999716888021484,123.74971688802148,123.74970912341557,7.76460591112027e-06,-3.9997168880214815,2.6645352591003757e-15,,,,,,,,119.75,123.74990835733597,-3.9999083573359684,-3.9999503083886996,123.7499503083887,123.75006452335678,-4.000064523356784,-3.9997096635773985,123.74970966357739,-0.0003548597793923136,1.0,0.0,119.75,123.74971688802148,7.76460591112027e-06,123.74971688802148,119.75,,123.74970912341557,,123.74971688802148,,-3.999716888021484,,7.76460591112027e-06,
2015-09-01,123.0,123.0,,,123.0,,,123.0,123.0,,123.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,123.0,,123.99966139454357,,123.99968386491494,-0.9996838649149437,,2.247037137692587e-05,123.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.99999999999999,-0.9999999999999858,,-0.9999999999999947,124.0,124.0,-1.0,,-1.0000537225126964,124.0000537225127,5.372251270330253e-05,1.0,0.0,123.0,123.99980132248066,-0.9998013224806641,-0.9998613614837071,123.99986136148371,124.00001735365487,-1.0000173536548687,,-0.9996838649149437,123.99968386491494,123.99966139454357,2.247037137692587e-05,-0.9996838649149437,123.99968386491494,123.99966139454357,2.247037137692587e-05,-0.9996838649149424,1.2212453270876722e-15,,,,,,,,123.0,123.99989877422638,-0.9998987742263807,-0.999946404158862,123.99994640415886,123.9999955710943,-0.9999955710943027,-0.9996873677304716,123.99968736773047,-0.0003082033638293069,1.0,0.0,123.0,123.99968386491494,2.247037137692587e-05,123.99968386491494,123.0,,123.99966139454357,,123.99968386491494,,-0.9996838649149437,,2.247037137692587e-05,
2015-10-01,125.25,125.25,,,125.25,,,125.25,125.25,,125.25,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,125.25,,124.24957254977424,,124.24962755603539,1.000372443964609,,5.500626114951501e-05,125.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.25,124.25,1.0,,0.9999999999999938,124.25,124.25000000000001,0.9999999999999858,,0.9999497487246288,124.25005025127537,5.0251275354185054e-05,1.0,0.0,125.25,124.24980132248068,1.0001986775193217,1.0001386385162814,124.24986136148372,124.24987955111239,1.000120448887614,,1.000372443964609,124.24962755603539,124.24957254977424,5.500626114951501e-05,1.000372443964609,124.24962755603539,124.24957254977424,5.500626114951501e-05,1.0003724439646078,-1.1102230246251565e-15,,,,,,,,125.25,124.24997530519573,1.0000246948042673,1.000022416557322,124.24997758344267,124.24996581323633,1.0000341867636706,1.000329182247657,124.24967081775235,-0.0002949954839834845,1.0,0.0,125.25,124.24962755603539,5.500626114951501e-05,124.24962755603539,125.25,,124.24957254977424,,124.24962755603539,,1.000372443964609,,5.500626114951501e-05,
2015-11-01,128.5,128.5,,,128.5,,,128.5,128.5,,128.5,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,128.5,,124.4996493349393,,124.49958518463558,4.000414815364424,,-6.415030372863839e-05,128.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.5,124.5,4.0,,3.999999999999994,124.5,124.50000000000001,3.999999999999986,,3.9999509167830474,124.50004908321695,4.908321693619655e-05,1.0,0.0,128.5,124.49980132248068,4.000198677519322,4.000138638516281,124.49986136148372,124.4996745141114,4.000325485888595,,4.000414815364424,124.49958518463558,124.4996493349393,-6.415030372863839e-05,4.000414815364424,124.49958518463558,124.4996493349393,-6.415030372863839e-05,4.000414815364422,-1.7763568394002505e-15,,,,,,,,128.5,124.5,4.0,4.000012355711139,124.49998764428886,124.4999685088499,4.0000314911500965,4.000330488497323,124.49966951150267,-0.0002989973472296015,1.0,0.0,128.5,124.49958518463558,-6.415030372863839e-05,124.49958518463558,128.5,,124.4996493349393,,124.49958518463558,,4.000414815364424,,-6.415030372863839e-05,
